"","gender_person_1","gender_person_2","gender_person_3","gender_person_4","gender_person_5","gender_person_6","gender_person_7","gender_person_8","gender_person_9","gender_person_10","total_people_pictured","total_women","total_men","total_ambiguous","building_code","clean_img_name"
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"~41",10,28,4,1,"IMG_3985"
"59",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3988"
"60",2,2,2,1,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,1,"IMG_3989"
"61",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3991"
"62",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3996"
"63",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3996"
"64",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3996"
"65",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3996"
"66",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3996"
"67",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3996"
"68",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3996"
"69",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3996"
"70",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3996"
"71",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3996"
"72",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3996"
"73",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3996"
"74",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3996"
"75",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3996"
"76",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3996"
"77",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3996"
"78",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3996"
"79",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3996"
"80",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3996"
"81",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4001"
"82",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4002"
"83",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4003"
"84",1,2,2,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,1,"IMG_4004"
"85",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4006"
"86",2,2,2,2,1,2,2,NA,NA,NA,"7",NA,NA,NA,1,"IMG_4007"
"87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"~74",25,45,4,1,"IMG_4010"
"88",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4012"
"89",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4012"
"90",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4012"
"91",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4012"
"92",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4012"
"93",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4012"
"94",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4012"
"95",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4012"
"96",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4012"
"97",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4013"
"98",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4013"
"99",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4013"
"100",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4013"
"101",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4013"
"102",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4014"
"103",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4014"
"104",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4014"
"105",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4014"
"106",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4014"
"107",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4014"
"108",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4014"
"109",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4014"
"110",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4014"
"111",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4016"
"112",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4016"
"113",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4016"
"114",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4016"
