"","article.cond","gender.cond","participant.gender","image.cond","z.interest.all","z.lead.all","z.dd.id.all","z.dd.belonging.all","z.dd.threat.all","z.dd.challenge.all","z.selfeff.all","z.pj.fit.all","z.confidence.all","interest.all","lead.all","dd.id.all","dd.belonging.all","dd.threat.all","dd.challenge.all","selfeff.all","pj.fit.all","confidence.all","interest_2","interest_3","interest_5","interest_6","interest_7","interest_8","interest_10","interest_11","interest_13","interest_15","interest_16","interest_18","interest_1R","interest_4R","interest_9R","interest_12R","interest_14R","interest_17R","lead_1","lead_2","lead_3","lead_4","lead_5","lead_6","dd.important","dd.useful","dd.care","dd.school_11","dd.school_12","dd.school_13R","dd.school_14R","dd.school_1","dd.school_2","dd.school_3","dd.school_4","dd.school_5","dd.school_6","dd.school_7","dd.school_8","dd.school_9","dd.school_10","dd.graduate","dd.prof","selfeff_1","selfeff_3","selfeff_2R","selfeff_4R","pj.fit_1","pj.fit_2","pj.fit_3","pj.fit_4","pj.fit_5","confidence_1","confidence_2","confidence_3","gender.belief_1","gender.belief_2","gender.belief_3","interest.rep.items","selfeff.interest.rep.items","age","race.cat.collapse"
"306","against","Female scientist","Men","Not pictured",0.194688325023549,0.0667765625212955,0.0888042291472151,0.165725728611249,0.297581075141013,0.234978350620811,0.417927741714266,0.375421046569826,-1.10428622186672,6.16666666666667,6.33333333333333,6.33333333333333,5.25,5.8,5.6,5.5,6,4.33333333333333,6,6,6,6,7,7,6,6,5,6,6,5,7,7,7,6,6,6,7,6,7,6,6,6,7,6,6,4,5,6,6,6,6,6,5,6,6,5,6,6,5,2,5,6,6,5,5,6,5,6,6,7,4,4,5,6,7,8,4.7,6.13333333333333,18,"Asian"
"307","genes","Male scientist","Women","Pictured",-0.876439021070919,-1.71393177137992,-1.95490953752843,-1.74780845741554,-0.597827055432544,-0.985041694986581,-1.04991603406267,-2.7868999696618,-2.5335626877651,5.38888888888889,4.66666666666667,4.66666666666667,2.75,4.6,4.2,4,2.4,2.66666666666667,5,6,6,5,5,7,5,6,4,4,5,3,6,7,7,6,6,4,6,6,6,3,3,4,5,6,3,3,3,3,2,5,5,5,4,4,4,4,5,4,4,5,6,4,5,2,5,2,2,1,4,3,3,3,2,7,3,7,4.25,4.86666666666667,23,"White"
"308","against","Male scientist","Women","Pictured",0.0416701327243387,0.779059896081781,-0.319938524187914,-0.408334527196789,1.19298920571457,-0.287887383210928,-1.53919729265498,-0.503001457938959,-0.246720342327697,6.05555555555556,7,6,4.5,7,5,3.5,5,5.33333333333333,6,6,6,6,6,7,6,5,5,6,6,6,6,6,7,7,6,6,7,7,7,7,7,7,6,6,6,5,5,5,3,7,7,7,7,7,5,5,5,5,5,6,6,3,5,1,5,5,5,5,5,5,6,5,5,8,8,8,4.75,5.66666666666667,19,"White"
"309","shell","Female scientist","Women","Pictured",1.26581567111802,0.779059896081781,0.906289735817475,0.165725728611249,-0.896296432290395,0.757844084452551,0.417927741714266,1.25384355107861,0.324990244031655,6.94444444444444,7,7,5.25,4.2,6.2,5.5,7,6,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,6,5,5,5,3,3,6,7,6,6,6,5,6,6,5,5,6,7,7,7,7,7,6,6,6,8,8,4,5.15,6.66666666666667,18,"Asian"
"310","genes","Male scientist","Men","Pictured",-1.10596630951973,-0.289365104258947,0.906289735817475,-0.0256276899914305,0.44681576356994,-0.287887383210928,-0.0713535168780458,-0.854370459742473,-0.532575635507372,5.22222222222222,6,7,5,6,5,5,4.6,5,5,5,5,5,5,5,5,5,5,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,7,7,7,5,5,5,5,6,6,6,6,6,5,5,5,5,5,2,7,5,6,4,5,5,5,5,4,4,5,5,5,7,7,7,4.3,4.8,19,"Asian"
"311","genes","Female scientist","Women","Pictured",0.194688325023549,0.779059896081781,0.0888042291472151,0.548432565816607,0.44681576356994,-0.287887383210928,0.17328711241811,0.375421046569826,0.324990244031655,6.16666666666667,7,6.33333333333333,5.75,6,5,5.25,6,6,6,6,6,6,6,7,6,6,6,3,5,7,6,7,7,7,7,7,7,7,7,7,7,7,6,6,7,5,6,6,6,7,6,7,5,5,5,5,5,5,5,6,7,6,5,5,5,6,6,6,6,6,6,6,6,8,8,8,4.65,6,19,"Asian"
"312","against","Female scientist","Women","Pictured",-0.111348059574871,-0.289365104258947,0.906289735817475,-0.408334527196789,1.19298920571457,-0.287887383210928,0.417927741714266,0.375421046569826,0.324990244031655,5.94444444444444,6,7,4.5,7,5,5.5,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,5,5,4,4,7,7,7,7,7,5,5,5,5,5,6,6,6,5,6,5,6,6,6,6,6,6,6,6,8,8,8,4.75,5.8,19,"Asian"
"313","against","Male scientist","Men","Not pictured",-0.187857155724475,-0.289365104258947,-0.319938524187914,0.548432565816607,-0.150122990145765,0.583555506508638,0.17328711241811,0.375421046569826,0.324990244031655,5.88888888888889,6,6,5.75,5.2,6,5.25,6,6,6,6,6,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,2,6,6,6,6,6,6,2,7,6,6,4,5,6,6,6,6,6,6,6,6,8,8,8,4.7,5.66666666666667,18,"Asian"
"314","shell","Male scientist","Women","Pictured",0.806761094220387,0.779059896081781,0.906289735817475,1.50519965883,0.745285140427792,-0.287887383210928,0.17328711241811,0.199736545668069,-0.532575635507372,6.61111111111111,7,7,7,6.4,5,5.25,5.8,5,6,6,6,6,6,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,5,5,5,5,5,7,7,5,5,5,6,5,5,5,7,7,5,5,5,7,8,8,4.95,6.33333333333333,19,"Asian"
"315","genes","Female scientist","Women","Not pictured",0.653742901921178,0.779059896081781,0.906289735817475,-1.55645503881286,0.596050451998866,-0.113598805267015,-0.315994146174202,0.199736545668069,-0.532575635507372,6.5,7,7,3,6.2,5.2,4.75,5.8,5,6,6,7,7,7,7,7,6,6,4,7,7,6,7,7,7,6,7,7,7,7,7,7,7,7,7,7,3,3,3,3,7,6,6,6,6,5,5,5,6,5,6,6,6,5,3,5,5,6,6,6,6,5,5,5,8,8,8,5,6.2,19,"All other races"
"316","shell","Female scientist","Women","Pictured",1.0362883826692,0.779059896081781,0.906289735817475,-1.17374820160751,0.745285140427792,1.28070981828429,-0.805275404766514,0.902474549275096,0.896700830391007,6.77777777777778,7,7,3.5,6.4,6.8,4.25,6.6,6.66666666666667,7,7,6,7,7,7,7,7,7,6,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,5,3,3,6,7,7,6,6,7,6,7,7,7,6,7,6,5,1,5,6,7,7,6,7,7,6,7,8,8,8,5.1,6.53333333333333,21,"White"
"317","against","Male scientist","Women","Not pictured",-0.0348389634252659,-0.289365104258947,0.497546982482345,-1.17374820160751,1.04375451728564,-0.287887383210928,-1.53919729265498,0.375421046569826,-1.10428622186672,6,6,6.66666666666667,3.5,6.8,5,3.5,6,4.33333333333333,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,7,7,4,4,3,3,6,7,7,7,7,6,5,6,5,3,4,5,3,6,3,2,6,6,6,6,6,5,4,4,6,8,8,4.75,5.93333333333333,18,"Asian"
"318","shell","Male scientist","Women","Pictured",1.34232476726762,0.779059896081781,0.906289735817475,1.50519965883,-0.000888301716838511,1.4549983962282,0.417927741714266,1.25384355107861,1.18255612357068,7,7,7,7,5.4,7,5.5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,6,4,6,7,7,7,7,7,2,7,7,7,7,1,7,7,7,7,7,7,7,7,7,8,8,5.2,7,20,"Asian"
"319","against","Male scientist","Women","Pictured",-2.02407546331499,-2.4262151049404,-0.728681277523043,-0.791041364402147,0.44681576356994,-1.33361885087441,-1.53919729265498,-2.25984646695653,-2.24770739458543,4.55555555555556,4,5.66666666666667,4,6,3.8,3.5,3,3,5,4,5,5,3,4,5,6,5,5,3,4,5,5,3,5,6,4,5,5,3,3,5,3,5,5,7,4,4,4,4,6,6,6,6,6,3,4,4,4,4,2,6,3,3,3,5,3,3,3,3,3,3,3,3,8,8,8,4.15,4.06666666666667,19,"White"
"320","shell","Female scientist","Women","Pictured",-0.187857155724475,-0.289365104258947,-0.319938524187914,0.548432565816607,0.894519828856718,1.10642124034038,0.17328711241811,0.375421046569826,0.324990244031655,5.88888888888889,6,6,5.75,6.6,6.6,5.25,6,6,6,6,6,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,7,7,7,6,6,6,7,7,7,6,2,7,6,3,6,6,6,6,6,6,6,6,6,6,8,8,8,4.7,5.6,21,"Asian"
"321","genes","Male scientist","Women","Pictured",-0.0348389634252659,-0.289365104258947,-0.319938524187914,-1.36510162021018,-0.299357678574691,0.409266928564724,0.417927741714266,0.375421046569826,0.324990244031655,6,6,6,3.25,5,5.8,5.5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,3,4,5,5,5,5,5,6,6,6,6,5,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,7,7,4.8,5.8,20,"Asian"
"322","genes","Female scientist","Women","Pictured",1.18930657496841,0.779059896081781,0.906289735817475,-0.408334527196789,1.04375451728564,0.409266928564724,-1.29455666335883,1.25384355107861,1.18255612357068,6.88888888888889,7,7,4.5,6.8,5.8,3.75,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,3,6,7,7,7,7,7,6,6,6,4,6,7,5,5,2,3,7,7,7,7,7,7,7,7,8,8,8,5.1,6,20,"Asian"
"323","shell","Male scientist","Women","Pictured",-0.799929924921314,-1.5358609379898,-1.5461667841933,-0.599687945799468,-0.299357678574691,0.409266928564724,-1.04991603406267,-1.20573946154599,-0.246720342327697,5.44444444444444,4.83333333333333,5,4.25,5,5.8,4,4.2,5.33333333333333,6,6,6,5,6,7,6,6,6,3,2,5,6,6,7,6,3,6,6,3,5,5,5,5,5,5,5,4,5,5,3,5,5,5,5,5,6,6,5,6,6,1,5,5,3,5,3,3,5,4,4,5,6,5,5,8,8,8,4.4,5.33333333333333,18,"Asian"
"324","against","Male scientist","Women","Not pictured",-0.111348059574871,0.779059896081781,0.906289735817475,-0.0256276899914305,1.19298920571457,0.583555506508638,0.17328711241811,1.25384355107861,1.18255612357068,5.94444444444444,7,7,5,7,6,5.25,7,7,6,6,6,5,6,6,6,6,6,4,5,6,7,7,7,6,6,6,7,7,7,7,7,7,7,7,7,7,5,2,6,7,7,7,7,7,6,6,6,6,6,5,7,7,7,6,1,7,7,7,7,7,7,7,7,4,8,8,4.5,6.26666666666667,19,"Asian"
"325","shell","Male scientist","Women","Pictured",0.500724709621969,0.779059896081781,0.906289735817475,-1.36510162021018,1.04375451728564,0.409266928564724,1.39649025889889,0.902474549275096,0.0391349508519797,6.38888888888889,7,7,3.25,6.8,5.8,6.5,6.6,5.66666666666667,6,7,6,6,7,1,7,6,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,4,2,2,7,7,7,6,7,6,5,7,5,6,7,7,6,7,7,6,6,7,7,6,7,5,6,6,8,8,8,4.7,6.2,19,"Black/African American"
"326","against","Male scientist","Women","Pictured",-0.264366251874081,-0.289365104258947,-0.319938524187914,0.739785984419286,0.596050451998866,-0.113598805267015,-0.0713535168780458,-0.151632456135445,-0.818430928687048,5.83333333333333,6,6,6,6.2,5.2,5,5.4,4.66666666666667,6,6,6,6,5,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,5,5,5,5,5,6,5,5,5,5,6,6,5,5,5,4,5,5,7,7,7,4.65,5.46666666666667,20,"White"
"327","shell","Female scientist","Women","Not pictured",0.500724709621969,0.779059896081781,0.497546982482345,1.12249282162464,-2.53787800500858,1.4549983962282,1.15184962960273,0.375421046569826,0.610845537211331,6.38888888888889,7,6.66666666666667,6.5,2,7,6.25,6,6.33333333333333,6,7,7,7,6,7,7,6,6,2,6,7,6,7,7,7,7,7,7,7,7,7,7,7,6,7,7,6,6,7,7,3,1,4,1,1,7,7,7,7,7,7,7,5,6,7,7,6,6,6,6,6,6,7,6,8,8,8,4.8,6.2,19,"Asian"
"328","genes","Female scientist","Women","Pictured",1.0362883826692,0.779059896081781,0.906289735817475,0.739785984419286,-0.896296432290395,0.583555506508638,0.907209000306579,0.375421046569826,0.610845537211331,6.77777777777778,7,7,6,4.2,6,6,6,6.33333333333333,7,7,6,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,5,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,8,8,8,5,5.73333333333333,20,"Asian"
"329","against","Female scientist","Women","Pictured",1.11279747881881,0.600989062691659,0.906289735817475,-0.21698110859411,0.44681576356994,-1.33361885087441,-1.53919729265498,0.0240520447663115,-1.67599680822608,6.83333333333333,6.83333333333333,7,4.75,6,3.8,3.5,5.6,3.66666666666667,6,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,5,5,4,5,6,6,6,6,6,4,4,4,4,3,7,7,2,6,3,3,6,6,6,5,5,5,3,3,3,8,8,5.1,6.66666666666667,19,"White"
"330","shell","Male scientist","Women","Pictured",-0.187857155724475,-0.289365104258947,0.0888042291472151,-0.21698110859411,0.148346386712087,0.583555506508638,0.417927741714266,0.199736545668069,0.324990244031655,5.88888888888889,6,6.33333333333333,4.75,5.6,6,5.5,5.8,6,6,6,6,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,5,5,5,4,7,6,6,4,5,6,6,6,6,6,3,6,5,6,5,6,6,5,6,6,6,6,6,6,7,8,8,4.7,5.6,19,"Asian"
"331","against","Female scientist","Women","Not pictured",0.883270190369993,0.0667765625212955,0.0888042291472151,-0.21698110859411,-1.34400049757717,1.4549983962282,0.417927741714266,-0.854370459742473,0.324990244031655,6.66666666666667,6.33333333333333,6.33333333333333,4.75,3.6,7,5.5,4.6,6,7,7,7,7,6,7,7,7,6,3,7,7,7,7,7,7,7,7,7,7,7,4,6,7,6,6,7,5,5,6,3,5,5,5,2,1,7,7,7,7,7,7,7,6,5,5,6,4,5,5,5,4,6,7,5,3,8,8,4.9,6.33333333333333,18,"Asian"
"332","genes","Male scientist","Women","Pictured",-0.72342082877171,-0.467435937649068,-0.319938524187914,-0.0256276899914305,-0.896296432290395,0.0606897726768983,-0.560634775470358,0.199736545668069,-0.532575635507372,5.5,5.83333333333333,6,5,4.2,5.4,4.5,5.8,5,5,5,5,5,5,6,6,6,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,5,5,5,5,5,5,5,2,4,6,5,6,5,5,2,6,5,5,3,5,6,6,6,5,6,5,5,5,8,8,8,4.45,5.33333333333333,21,"Asian"
"333","genes","Male scientist","Women","Pictured",0.118179228873943,-0.645506771039189,0.497546982482345,-2.70457555042894,0.596050451998866,-0.113598805267015,-1.53919729265498,-1.38142396244774,0.324990244031655,6.11111111111111,5.66666666666667,6.66666666666667,1.5,6.2,5.2,3.5,4,6,6,7,6,6,6,6,7,7,6,5,6,5,6,6,7,7,5,6,6,3,6,6,7,6,6,7,7,2,2,1,1,6,6,6,6,7,5,5,6,5,5,2,6,4,4,2,4,4,4,4,4,4,7,5,6,8,8,8,4.8,5.66666666666667,23,"Black/African American"
"334","against","Female scientist","Women","Not pictured",-0.0348389634252659,-0.289365104258947,0.906289735817475,0.739785984419286,0.44681576356994,0.583555506508638,0.907209000306579,0.375421046569826,0.324990244031655,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,4.8,5.73333333333333,18,"Asian"
"335","shell","Male scientist","Women","Not pictured",-2.25360275176381,-0.645506771039189,-1.5461667841933,-0.791041364402147,1.19298920571457,-1.15933027293049,-1.04991603406267,-0.503001457938959,-1.3901415150464,4.38888888888889,5.66666666666667,5,4,7,4,4,5,4,4,4,4,4,5,7,4,4,4,4,4,5,4,4,6,4,4,4,6,6,6,6,6,4,4,5,6,4,4,4,4,7,7,7,7,7,5,4,4,4,3,3,5,4,4,4,4,5,5,5,5,5,4,4,4,6,7,8,4.25,4.53333333333333,19,"All other races"
"336","against","Female scientist","Women","Pictured",0.0416701327243387,-0.289365104258947,0.497546982482345,0.739785984419286,0.894519828856718,0.583555506508638,0.417927741714266,0.375421046569826,0.324990244031655,6.05555555555556,6,6.66666666666667,6,6.6,6,5.5,6,6,6,6,6,6,6,7,7,6,6,4,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,7,7,6,6,6,6,7,7,7,6,6,6,6,5,7,6,2,5,4,7,5,6,6,6,6,6,6,6,6,6,8,8,8,4.8,5.53333333333333,19,"Asian"
