"","article.cond","gender.cond","participant.gender","image.cond","z.interest.all","z.lead.all","z.dd.id.all","z.dd.belonging.all","z.dd.threat.all","z.dd.challenge.all","z.selfeff.all","z.pj.fit.all","z.confidence.all","interest.all","lead.all","dd.id.all","dd.belonging.all","dd.threat.all","dd.challenge.all","selfeff.all","pj.fit.all","confidence.all","interest_2","interest_3","interest_5","interest_6","interest_7","interest_8","interest_10","interest_11","interest_13","interest_15","interest_16","interest_18","interest_1R","interest_4R","interest_9R","interest_12R","interest_14R","interest_17R","lead_1","lead_2","lead_3","lead_4","lead_5","lead_6","dd.important","dd.useful","dd.care","dd.school_11","dd.school_12","dd.school_13R","dd.school_14R","dd.school_1","dd.school_2","dd.school_3","dd.school_4","dd.school_5","dd.school_6","dd.school_7","dd.school_8","dd.school_9","dd.school_10","dd.graduate","dd.prof","selfeff_1","selfeff_3","selfeff_2R","selfeff_4R","pj.fit_1","pj.fit_2","pj.fit_3","pj.fit_4","pj.fit_5","confidence_1","confidence_2","confidence_3","gender.belief_1","gender.belief_2","gender.belief_3","interest.rep.items","selfeff.interest.rep.items","age","race.cat.collapse"
"276","shell","Female scientist","Men","Not pictured",0.959779286519598,0.779059896081781,0.906289735817475,1.50519965883,-2.0901739397218,1.4549983962282,1.8857715174912,1.25384355107861,1.18255612357068,6.72222222222222,7,7,7,2.6,7,7,7,7,7,7,7,7,7,7,7,7,7,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,1,4,1,1,7,7,7,7,7,2,6,7,7,7,7,7,7,7,7,7,7,7,7,4,2,2,4.95,6.26666666666667,19,"Asian"
"277","genes","Female scientist","Men","Not pictured",-0.0348389634252659,-0.111294270868825,-0.728681277523043,0.357079147213928,-0.299357678574691,-0.287887383210928,0.907209000306579,0.375421046569826,0.324990244031655,6,6.16666666666667,5.66666666666667,5.5,5,5,6,6,6,6,6,6,6,5,7,5,6,6,6,5,6,7,6,6,6,6,7,5,5,7,7,6,7,5,6,6,6,5,5,6,6,5,6,4,4,5,5,5,5,5,5,7,7,5,6,6,6,6,6,6,6,6,6,6,4,8,8,4.65,5.26666666666667,20,"Black/African American"
"278","genes","Male scientist","Men","Pictured",-0.111348059574871,-0.289365104258947,-0.319938524187914,0.357079147213928,0.44681576356994,0.409266928564724,0.907209000306579,0.375421046569826,0.324990244031655,5.94444444444444,6,6,5.5,6,5.8,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,5,6,6,6,6,2,7,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,4.75,5.4,18,"White"
"279","shell","Male scientist","Women","Not pictured",0.577233805771573,0.779059896081781,0.906289735817475,1.31384624022732,1.19298920571457,1.4549983962282,-0.560634775470358,1.25384355107861,0.610845537211331,6.44444444444444,7,7,6.75,7,7,4.5,7,6.33333333333333,6,6,7,7,6,6,7,2,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,1,7,7,6,3,2,7,7,7,7,7,7,7,5,8,8,8,4.8,6.93333333333333,18,"White"
"280","shell","Male scientist","Men","Not pictured",-1.41200269411815,-1.35779010459967,-1.13742403085817,0.357079147213928,-0.597827055432544,0.234978350620811,0.417927741714266,-0.503001457938959,0.324990244031655,5,5,5.33333333333333,5.5,4.6,5.6,5.5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5,5,3,5,5,5,5,5,5,5,5,6,5,6,6,5,5,6,3,6,3,5,5,5,6,6,6,5,7,6,6,5,5,5,5,5,5,5,6,6,6,7,8,8,4.3,5.26666666666667,20,"Black/African American"
"281","against","Male scientist","Men","Not pictured",-0.0348389634252659,-0.289365104258947,-0.319938524187914,0.739785984419286,0.44681576356994,0.583555506508638,0.907209000306579,0.375421046569826,0.324990244031655,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,4.8,5.73333333333333,18,"Black/African American"
"282","against","Male scientist","Women","Pictured",-1.64152998256697,-1.71393177137992,-1.95490953752843,-0.982394783004826,-0.000888301716838511,0.0606897726768983,-0.805275404766514,-2.25984646695653,-0.818430928687048,4.83333333333333,4.66666666666667,4.66666666666667,3.75,5.4,5.4,4.25,3,4.66666666666667,5,5,5,5,5,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,4,5,4,3,3,6,5,6,4,6,5,5,6,6,5,5,6,3,6,3,5,3,3,3,3,3,5,5,4,3,8,8,4.25,4.66666666666667,21,"Black/African American"
"283","genes","Female scientist","Men","Pictured",-2.78916642481104,-2.4262151049404,-2.77239504419869,-0.791041364402147,-1.04553112071932,-1.15933027293049,-1.04991603406267,-1.38142396244774,-1.3901415150464,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,18,"White"
"284","against","Male scientist","Women","Pictured",-0.340875348023686,-0.289365104258947,-0.319938524187914,-0.0256276899914305,0.297581075141013,-1.15933027293049,-1.04991603406267,-1.38142396244774,-1.10428622186672,5.77777777777778,6,6,5,5.8,4,4,4,4.33333333333333,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,4,6,6,6,5,6,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,5,4,7,7,7,4.7,5.26666666666667,22,"Asian"
"285","against","Female scientist","Men","Not pictured",0.959779286519598,0.244847395911417,0.497546982482345,1.50519965883,-2.68711269343751,1.4549983962282,1.64113088819505,1.25384355107861,1.18255612357068,6.72222222222222,6.5,6.66666666666667,7,1.8,7,6.75,7,7,7,7,7,7,6,7,7,6,7,7,7,7,7,7,5,7,6,7,7,7,7,7,5,6,7,7,6,7,7,7,7,5,1,1,1,1,7,7,7,7,7,6,7,7,7,6,7,7,7,7,7,7,7,7,7,8,8,8,5.1,6.4,18,"Asian"
